index,notiz,shutter,gain,timestamp
113,live frame 113,1500,8.0,2026-09-21T12:53:49
114,live frame 114,1500,8.0,2026-09-21T12:53:51
115,live frame 115,1500,8.0,2026-09-21T12:53:53
116,live frame 116,1500,8.0,2026-09-21T12:53:55
117,live frame 117,1500,8.0,2026-09-21T12:53:57
118,live frame 118,1500,8.0,2026-09-21T12:53:59
119,live frame 119,1500,8.0,2026-09-21T12:54:01
120,live frame 120,1500,8.0,2026-09-21T12:54:03
121,live frame 121,1500,8.0,2026-09-21T12:54:05
122,live frame 122,1500,8.0,2026-09-21T12:54:07
123,live frame 123,1500,8.0,2026-09-21T12:54:08
124,live frame 124,1500,8.0,2026-09-21T12:54:10
125,live frame 125,1500,8.0,2026-09-21T12:54:12
126,live frame 126,1500,8.0,2026-09-21T12:54:14
127,live frame 127,1500,8.0,2026-09-21T12:54:16
128,live frame 128,1500,8.0,2026-09-21T12:54:18
129,live frame 129,1500,8.0,2026-09-21T12:54:20
