index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-23T12:57:21
1,live frame 1,1500,8.0,2026-09-23T12:57:23
2,live frame 2,1500,8.0,2026-09-23T12:57:24
3,live frame 3,1500,8.0,2026-09-23T12:57:26
4,live frame 4,1500,8.0,2026-09-23T12:57:28
5,live frame 5,1500,8.0,2026-09-23T12:57:30
6,live frame 6,1500,8.0,2026-09-23T12:57:32
7,live frame 7,1500,8.0,2026-09-23T12:57:34
8,live frame 8,1500,8.0,2026-09-23T12:57:35
9,live frame 9,1500,8.0,2026-09-23T12:57:37
10,live frame 10,1500,8.0,2026-09-23T12:57:39
11,live frame 11,1500,8.0,2026-09-23T12:57:41
12,live frame 12,1500,8.0,2026-09-23T12:57:43
13,live frame 13,1500,8.0,2026-09-23T12:57:45
14,live frame 14,1500,8.0,2026-09-23T12:57:47
15,live frame 15,1500,8.0,2026-09-23T12:57:49
16,live frame 16,1500,8.0,2026-09-23T12:57:51
17,live frame 17,1500,8.0,2026-09-23T12:57:52
18,live frame 18,1500,8.0,2026-09-23T12:57:54
19,live frame 19,1500,8.0,2026-09-23T12:57:56
20,live frame 20,1500,8.0,2026-09-23T12:57:58
21,live frame 21,1500,8.0,2026-09-23T12:58:00
22,live frame 22,1500,8.0,2026-09-23T12:58:02
23,live frame 23,1500,8.0,2026-09-23T12:58:04
24,live frame 24,1500,8.0,2026-09-23T12:58:06
25,live frame 25,1500,8.0,2026-09-23T12:58:08
26,live frame 26,1500,8.0,2026-09-23T12:58:10
27,live frame 27,1500,8.0,2026-09-23T12:58:11
28,live frame 28,1500,8.0,2026-09-23T12:58:13
29,live frame 29,1500,8.0,2026-09-23T12:58:15
30,live frame 30,1500,8.0,2026-09-23T12:58:17
31,live frame 31,1500,8.0,2026-09-23T12:58:19
32,live frame 32,1500,8.0,2026-09-23T12:58:21
33,live frame 33,1500,8.0,2026-09-23T12:58:23
34,live frame 34,1500,8.0,2026-09-23T12:58:25
35,live frame 35,1500,8.0,2026-09-23T12:58:27
36,live frame 36,1500,8.0,2026-09-23T12:58:29
37,live frame 37,1500,8.0,2026-09-23T12:58:31
38,live frame 38,1500,8.0,2026-09-23T12:58:32
39,live frame 39,1500,8.0,2026-09-23T12:58:34
40,live frame 40,1500,8.0,2026-09-23T12:58:36
41,live frame 41,1500,8.0,2026-09-23T12:58:38
42,live frame 42,1500,8.0,2026-09-23T12:58:40
43,live frame 43,1500,8.0,2026-09-23T12:58:42
44,live frame 44,1500,8.0,2026-09-23T12:58:44
45,live frame 45,1500,8.0,2026-09-23T12:58:46
46,live frame 46,1500,8.0,2026-09-23T12:58:48
47,live frame 47,1500,8.0,2026-09-23T12:58:49
48,live frame 48,1500,8.0,2026-09-23T12:58:51
49,live frame 49,1500,8.0,2026-09-23T12:58:53
50,live frame 50,1500,8.0,2026-09-23T12:58:55
51,live frame 51,1500,8.0,2026-09-23T12:58:57
52,live frame 52,1500,8.0,2026-09-23T12:58:59
