index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-23T12:48:50
1,live frame 1,1500,8.0,2026-09-23T12:48:52
2,live frame 2,1500,8.0,2026-09-23T12:48:54
3,live frame 3,1500,8.0,2026-09-23T12:48:56
4,live frame 4,1500,8.0,2026-09-23T12:48:58
5,live frame 5,1500,8.0,2026-09-23T12:48:59
6,live frame 6,1500,8.0,2026-09-23T12:49:01
7,live frame 7,1500,8.0,2026-09-23T12:49:03
8,live frame 8,1500,8.0,2026-09-23T12:49:05
9,live frame 9,1500,8.0,2026-09-23T12:49:07
10,live frame 10,1500,8.0,2026-09-23T12:49:09
11,live frame 11,1500,8.0,2026-09-23T12:49:11
12,live frame 12,1500,8.0,2026-09-23T12:49:13
13,live frame 13,1500,8.0,2026-09-23T12:49:15
14,live frame 14,1500,8.0,2026-09-23T12:49:16
15,live frame 15,1500,8.0,2026-09-23T12:49:18
16,live frame 16,1500,8.0,2026-09-23T12:49:20
17,live frame 17,1500,8.0,2026-09-23T12:49:22
18,live frame 18,1500,8.0,2026-09-23T12:49:24
19,live frame 19,1500,8.0,2026-09-23T12:49:26
20,live frame 20,1500,8.0,2026-09-23T12:49:28
21,live frame 21,1500,8.0,2026-09-23T12:49:30
22,live frame 22,1500,8.0,2026-09-23T12:49:32
23,live frame 23,1500,8.0,2026-09-23T12:49:33
24,live frame 24,1500,8.0,2026-09-23T12:49:35
25,live frame 25,1500,8.0,2026-09-23T12:49:37
26,live frame 26,1500,8.0,2026-09-23T12:49:39
27,live frame 27,1500,8.0,2026-09-23T12:49:41
28,live frame 28,1500,8.0,2026-09-23T12:49:43
29,live frame 29,1500,8.0,2026-09-23T12:49:45
30,live frame 30,1500,8.0,2026-09-23T12:49:47
31,live frame 31,1500,8.0,2026-09-23T12:49:49
32,live frame 32,1500,8.0,2026-09-23T12:49:51
33,live frame 33,1500,8.0,2026-09-23T12:49:52
34,live frame 34,1500,8.0,2026-09-23T12:49:54
35,live frame 35,1500,8.0,2026-09-23T12:49:56
36,live frame 36,1500,8.0,2026-09-23T12:49:58
37,live frame 37,1500,8.0,2026-09-23T12:50:00
38,live frame 38,1500,8.0,2026-09-23T12:50:02
39,live frame 39,1500,8.0,2026-09-23T12:50:04
40,live frame 40,1500,8.0,2026-09-23T12:50:06
41,live frame 41,1500,8.0,2026-09-23T12:50:08
42,live frame 42,1500,8.0,2026-09-23T12:50:09
43,live frame 43,1500,8.0,2026-09-23T12:50:11
44,live frame 44,1500,8.0,2026-09-23T12:50:13
45,live frame 45,1500,8.0,2026-09-23T12:50:15
46,live frame 46,1500,8.0,2026-09-23T12:50:17
